Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
1,0.452452,0.459,0,-1.
2,0.468858,0.469,0,-1.
3,0.439534,0.468,0,-1.
4,0.425153,0.469,0,-1.
5,0.426714,0.463,0,-1.
6,0.442869,0.454,0,-1.
7,0.44113,0.429,0,-1.
8,0.468029,0.467,0,-1.
9,0.441335,0.435,0,-1.
10,0.438108,0.444,0,-1.
11,0.474094,0.472,0,-1.
12,0.434571,0.46,0,-1.
13,0.439531,0.425,0,-1.
14,0.485216,0.484,0,-1.
15,0.44117,0.437,0,-1.
16,0.478928,0.455,0,-1.
17,0.445731,0.456,0,-1.
18,0.434307,0.446,0,-1.
19,0.448373,0.445,0,-1.
20,0.441382,0.456,0,-1.
21,0.448055,0.472,0,-1.
22,0.444442,0.432,0,-1.
23,0.450345,0.47,0,-1.
24,0.449064,0.422,0,-1.
25,0.423827,0.418,0,-1.
26,0.438519,0.436,0,-1.
27,0.434069,0.441,0,-1.
28,0.433354,0.443,0,-1.
29,0.427737,0.455,0,-1.
30,0.410754,0.416,0,-1.
31,0.467417,0.464,0,-1.
32,0.487615,0.459,0,-1.
33,0.467315,0.445,0,-1.
34,0.448456,0.426,0,-1.
35,0.444047,0.421,0,-1.
36,0.43376,0.446,0,-1.
37,0.456793,0.459,0,-1.
38,0.467807,0.457,0,-1.
39,0.462298,0.46,0,-1.
40,0.467748,0.442,0,-1.
41,0.452981,0.461,0,-1.
42,0.451855,0.457,0,-1.
43,0.42893,0.431,0,-1.
44,0.422836,0.437,0,-1.
45,0.451064,0.453,0,-1.
46,0.441886,0.455,0,-1.
47,0.443423,0.452,0,-1.
48,0.455001,0.45,0,-1.
49,0.441823,0.414,0,-1.
50,0.454891,0.462,0,-1.
51,0.429685,0.42,0,-1.
52,0.452556,0.441,0,-1.
53,0.453412,0.466,0,-1.
54,0.434587,0.434,0,-1.
55,0.402544,0.411,0,-1.
56,0.443904,0.45,0,-1.
57,0.459205,0.433,0,-1.
58,0.423621,0.422,0,-1.
59,0.443273,0.47,0,-1.
60,0.438428,0.443,0,-1.
61,0.424562,0.423,0,-1.
62,0.462312,0.459,0,-1.
63,0.453777,0.436,0,-1.
64,0.462948,0.467,0,-1.
65,0.454242,0.464,0,-1.
66,0.424592,0.425,0,-1.
67,0.453908,0.469,0,-1.
68,0.443042,0.44,0,-1.
69,0.455471,0.448,0,-1.
70,0.431362,0.416,0,-1.
71,0.459541,0.438,0,-1.
72,0.429365,0.438,0,-1.
73,0.447602,0.42,0,-1.
74,0.423037,0.412,0,-1.
75,0.460891,0.45,0,-1.
76,0.445306,0.455,0,-1.
77,0.425408,0.42,0,-1.
78,0.461473,0.467,0,-1.
79,0.426059,0.422,0,-1.
80,0.466278,0.461,0,-1.
81,0.435735,0.453,0,-1.
82,0.41337,0.41,0,-1.
83,0.444193,0.445,0,-1.
84,0.448783,0.425,0,-1.
85,0.45511,0.435,0,-1.
86,0.425613,0.442,0,-1.
87,0.428472,0.439,0,-1.
88,0.420981,0.428,0,-1.
89,0.435781,0.439,0,-1.
90,0.422267,0.403,0,-1.
91,0.423258,0.459,0,-1.
92,0.464617,0.433,0,-1.
93,0.453688,0.452,0,-1.
94,0.463354,0.437,0,-1.
95,0.435084,0.428,0,-1.
96,0.447833,0.435,0,-1.
97,0.456519,0.444,0,-1.
98,0.44123,0.417,0,-1.
99,0.435001,0.451,0,-1.
100,0.444109,0.428,0,-1.

Summary Measures (across all batches)
Server Utilization,0.44463	+/- 0.00317654	(0.714424 %)
Loss/Blocking Probability,0.44372	+/- 0.00347559	(0.783286 %)
Average Number in Queue),0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
